6 squares | u1 = 3 | v1 = 4 | u2 = 34 | v2 = 77 | [5359225, 1929581329, 1829851321, 3079422721, 1254930625, -569561471, 680009929, 580279921, 2504502025]
6 squares | u1 = 3 | v1 = 4 | u2 = 34 | v2 = 77 | [5359225, 3179152729, 580279921, 1829851321, 1254930625, 680009929, 1929581329, -669291479, 2504502025]
6 squares | u1 = 3 | v1 = 4 | u2 = 58 | v2 = 91 | [794958025, 5212695601, 4162798249, 6757990849, 3390150625, 22310401, 2617503001, 1567605649, 5985343225]
6 squares | u1 = 3 | v1 = 4 | u2 = 32 | v2 = 99 | [204289849, 5958481, 141293545, 54184321, 117180625, 180176929, 93067705, 228402769, 30071401]
6 squares | u1 = 3 | v1 = 4 | u2 = 32 | v2 = 109 | [376554025, 1925191129, 10188681721, 13975603321, 4163475625, -5648652071, -1861730471, 6401760121, 7950397225]
6 squares | u1 = 3 | v1 = 4 | u2 = 32 | v2 = 109 | [376554025, 10188681721, 1925191129, 5712112729, 4163475625, 2614838521, 6401760121, -1861730471, 7950397225]
6 squares | u1 = 3 | v1 = 4 | u2 = 92 | v2 = 131 | [237375649, 303630625, 1428915601, 1848180577, 656640625, -534899327, -115634351, 1009650625, 1075905601]
6 squares | u1 = 3 | v1 = 4 | u2 = 92 | v2 = 131 | [237375649, 1428915601, 303630625, 722895601, 656640625, 590385649, 1009650625, -115634351, 1075905601]
6 squares | u1 = 3 | v1 = 4 | u2 = 76 | v2 = 157 | [1624888849, 24910081, 1127242945, 428034721, 925680625, 1423326529, 724118305, 1826451169, 226472401]
6 squares | u1 = 3 | v1 = 4 | u2 = 114 | v2 = 173 | [506745121, 2833113529, 2187808225, 3523618729, 1842555625, 161492521, 1497303025, 851997721, 3178366129]
6 squares | u1 = 3 | v1 = 4 | u2 = 114 | v2 = 173 | [506745121, 4168924033, 851997721, 2187808225, 1842555625, 1497303025, 2833113529, -483812783, 3178366129]
6 squares | u1 = 3 | v1 = 4 | u2 = 168 | v2 = 209 | [74985607225, 59769003529, 253020066121, 307292684521, 129258225625, -48776233271, 5496385129, 198747447721, 183530844025]
6 squares | u1 = 3 | v1 = 4 | u2 = 168 | v2 = 209 | [74985607225, 253020066121, 59769003529, 114041621929, 129258225625, 144474829321, 198747447721, 5496385129, 183530844025]
6 squares | u1 = 3 | v1 = 4 | u2 = 142 | v2 = 219 | [1183291201, 7136025625, 5603730049, 9061454473, 4641015625, 220576777, 3678301201, 2146005625, 8098740049]
6 squares | u1 = 3 | v1 = 4 | u2 = 142 | v2 = 219 | [1183291201, 10593750049, 2146005625, 5603730049, 4641015625, 3678301201, 7136025625, -1311718799, 8098740049]
6 squares | u1 = 3 | v1 = 4 | u2 = 9 | v2 = 278 | [130317390025, 69190567681, 249392784169, 268708974769, 149633580625, 30558186481, 49874377081, 230076593569, 168949771225]
6 squares | u1 = 3 | v1 = 4 | u2 = 19 | v2 = 292 | [5447473249, 3390150625, 13157298001, 15041465377, 7331640625, -378184127, 1505983249, 11273130625, 9215808001]
6 squares | u1 = 3 | v1 = 4 | u2 = 19 | v2 = 292 | [5447473249, 13157298001, 3390150625, 5274318001, 7331640625, 9388963249, 11273130625, 1505983249, 9215808001]
6 squares | u1 = 3 | v1 = 4 | u2 = 151 | v2 = 296 | [377518080625, 3523463113921, 18958857347329, 26201285447329, 7619946180625, -10961393086079, -3718964986079, 11716429247329, 14862374280625]
